run_id,date,stage,description,data_scope,n_s1_queries,key_params,recall_at_candidates,val_precision,val_recall,val_f0.5,notes
blk_v2_5000_20260926_172953:tfidf_nabp@5/source,2026-09-26,blocking,tfidf_nabp@5/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=5,0.937674,,,,oracle_f05=0.979077; cands_mean=10.0; RR=0.999999; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp@10/source,2026-09-26,blocking,tfidf_nabp@10/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=10,0.960496,,,,oracle_f05=0.986375; cands_mean=20.0; RR=0.999998; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp@20/source,2026-09-26,blocking,tfidf_nabp@20/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=20,0.96988,,,,oracle_f05=0.989247; cands_mean=40.0; RR=0.999996; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp@30/source,2026-09-26,blocking,tfidf_nabp@30/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=30,0.973355,,,,oracle_f05=0.990446; cands_mean=60.0; RR=0.999994; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp@50/source,2026-09-26,blocking,tfidf_nabp@50/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=50,0.97741,,,,oracle_f05=0.991826; cands_mean=100.0; RR=0.99999; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp@100/source,2026-09-26,blocking,tfidf_nabp@100/source,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; top_k per source=100,0.980306,,,,oracle_f05=0.99299; cands_mean=200.0; RR=0.999981; sec=; peak_gb=
blk_v2_5000_20260926_172953:keys_all,2026-09-26,blocking,keys_all,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; name_exact+name_core+addr_exact+addr_set,0.613763,,,,oracle_f05=0.806216; cands_mean=16.6; RR=0.999998; sec=; peak_gb=
blk_v2_5000_20260926_172953:tfidf_nabp+keys_all,2026-09-26,blocking,tfidf_nabp+keys_all,train fold 0 sample; pools = full train S2+S3,5000,norm_v2; tfidf_nabp+name_exact+name_core+addr_exact+addr_set,0.981001,,,,oracle_f05=0.993527; cands_mean=210.2; RR=0.99998; sec=; peak_gb=
blk_v2b_5000_20260926_173256:tfidf_nab,2026-09-26,blocking,tfidf_nab,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nab"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {}}",0.982333,,,,oracle_f05=0.993326; cands_mean=200.0; RR=0.999981; sec=16.51; peak_gb=3.1
blk_v2b_5000_20260926_173256:tfidf_nabp_p0.25,2026-09-26,blocking,tfidf_nabp_p0.25,train fold 0 sample; pools = full train S2+S3,5000,"norm_v2; {""namespaces"": ""nabp"", ""cap_df"": 20000, ""top_r"": 300, ""top_k"": 100, ""rescore"": true, ""work_budget"": 30000000.0, ""ns_weights"": {""p"": 0.25}}",0.984187,,,,oracle_f05=0.99429; cands_mean=200.0; RR=0.999981; sec=18.02; peak_gb=3.1
